"CALLE";"NUMERO";"M2";"DOLARES";"U_S_M2";"AMBIENTES";"ANTIGUEDAD";"ORIENT";"BAULERA";"COCHERA";"BA�.OS";"LAVADERO";"TERRAZA";"BARRIO";"COMUNA";"LON";"LAT"
"34";"11 DE SEPTIEMBRE DE 1888";2500;35;122000;3485.7;2;5;"FRENTE";"No";"No";1;"No";"Si";"BELGRANO";13;-58.4544244763761;-34.5550401265637
"35";"11 DE SEPTIEMBRE DE 1888";2500;38;138550;3646.1;2;NA;"FRENTE";"No";"Si";1;"Si";"Si";"BELGRANO";13;-58.4544244763761;-34.5550401265637
"36";"11 DE SEPTIEMBRE DE 1888";2500;49;129500;2642.9;2;NA;"FRENTE";"No";"Si";1;"Si";"Si";"BELGRANO";13;-58.4544244763761;-34.5550401265637
"37";"11 DE SEPTIEMBRE DE 1888";2600;29;89000;3069;1;NA;"FRENTE";"No";"No";0;"No";"No";"BELGRANO";13;-58.4551573885026;-34.5541850384877
"38";"11 DE SEPTIEMBRE DE 1888";2600;46;126000;2739.1;0;NA;"FRENTE";"No";"No";0;"No";"No";"BELGRANO";13;-58.4551573885026;-34.5541850384877
"39";"11 DE SEPTIEMBRE DE 1888";2600;52;125000;2403.8;2;NA;"FRENTE";"No";"No";0;"No";"No";"BELGRANO";13;-58.4551573885026;-34.5541850384877
"40";"11 DE SEPTIEMBRE DE 1888";2600;56;178000;3178.6;3;10;"FRENTE";"No";"Si";0;"No";"Si";"BELGRANO";13;-58.4551573885026;-34.5541850384877
"41";"11 DE SEPTIEMBRE DE 1888";2600;57;180000;3157.9;2;3;"FRENTE";"No";"No";1;"No";"Si";"BELGRANO";13;-58.4551573885026;-34.5541850384877
"42";"11 DE SEPTIEMBRE DE 1888";2600;58;155000;2672.4;3;12;"FRENTE";"No";"No";2;"No";"Si";"BELGRANO";13;-58.4551573885026;-34.5541850384877
"43";"11 DE SEPTIEMBRE DE 1888";2600;79;260000;3291.1;3;1;"S/D";"No";"Si";2;"No";"Si";"BELGRANO";13;-58.4551573885026;-34.5541850384877
"44";"11 DE SEPTIEMBRE DE 1888";2700;42;119000;2833.3;2;4;"FRENTE";"Si";"No";1;"No";"Si";"BELGRANO";13;-58.4558936167562;-34.5533256157035
"45";"11 DE SEPTIEMBRE DE 1888";2700;66;124987;1893.7;1;NA;"CONTRAFRENTE";"Si";"Si";0;"No";"Si";"BELGRANO";13;-58.4558936167562;-34.5533256157035
"46";"11 DE SEPTIEMBRE DE 1888";2700;81;143016;1765.6;1;NA;"CONTRAFRENTE";"Si";"No";0;"No";"No";"BELGRANO";13;-58.4558936167562;-34.5533256157035
"47";"11 DE SEPTIEMBRE DE 1888";2700;129;239297;1855;3;NA;"CONTRAFRENTE";"No";"No";0;"No";"No";"BELGRANO";13;-58.4558936167562;-34.5533256157035
